hx = 0.2, hy = 0.375, a = 0.388, w = 0.65, freqs = [182.40700346 237.20301399], gamma = 0.11482
hx = 0.2, hy = 0.4, a = 0.388, w = 0.65, freqs = [183.20120171 240.41169056], gamma = 0.11484
hx = 0.2, hy = 0.375, a = 0.389, w = 0.65, freqs = [182.05946561 236.57816593], gamma = 0.11557
hx = 0.2, hy = 0.4, a = 0.389, w = 0.65, freqs = [182.85444332 239.77265096], gamma = 0.11572
hx = 0.2, hy = 0.375, a = 0.39, w = 0.65, freqs = [181.72859996 236.07185794], gamma = 0.11635
hx = 0.2, hy = 0.4, a = 0.39, w = 0.65, freqs = [182.52106762 239.26056904], gamma = 0.11663
hx = 0.2, hy = 0.375, a = 0.391, w = 0.65, freqs = [181.39832649 235.50909506], gamma = 0.11703
hx = 0.2, hy = 0.4, a = 0.391, w = 0.65, freqs = [182.19420742 238.61458436], gamma = 0.11733
hx = 0.2, hy = 0.375, a = 0.392, w = 0.65, freqs = [181.05349377 234.84565671], gamma = 0.1176
hx = 0.2, hy = 0.4, a = 0.392, w = 0.65, freqs = [181.84718322 238.0239811 ], gamma = 0.11815
hx = 0.2, hy = 0.375, a = 0.393, w = 0.65, freqs = [180.71299939 234.22177736], gamma = 0.11817
hx = 0.2, hy = 0.4, a = 0.393, w = 0.65, freqs = [181.4963344  237.35351217], gamma = 0.11884
hx = 0.2, hy = 0.4, a = 0.394, w = 0.65, freqs = [181.15406368 236.66721507], gamma = 0.11944
hx = 0.225, hy = 0.375, a = 0.395, w = 0.65, freqs = [182.59120186 242.32932944], gamma = 0.11958
hx = 0.2, hy = 0.4, a = 0.395, w = 0.65, freqs = [180.85263544 236.10145523], gamma = 0.11998
hx = 0.225, hy = 0.375, a = 0.396, w = 0.65, freqs = [182.25714836 241.81882334], gamma = 0.12054
hx = 0.225, hy = 0.375, a = 0.397, w = 0.65, freqs = [181.92176796 241.28140793], gamma = 0.12145
hx = 0.225, hy = 0.375, a = 0.398, w = 0.65, freqs = [181.63994066 240.93006905], gamma = 0.12229
hx = 0.225, hy = 0.4, a = 0.398, w = 0.65, freqs = [182.48289169 244.68773568], gamma = 0.12245
hx = 0.225, hy = 0.375, a = 0.399, w = 0.65, freqs = [181.30949759 240.4342678 ], gamma = 0.12317
hx = 0.225, hy = 0.4, a = 0.399, w = 0.65, freqs = [182.15228441 244.07792045], gamma = 0.12334
