hx = 0.175, hy = 0.4, a = 0.364, w = 0.65, freqs = [181.98963043 237.04511458], gamma = 0.11641
hx = 0.175, hy = 0.4, a = 0.365, w = 0.65, freqs = [181.62906339 236.41225352], gamma = 0.11717
hx = 0.2, hy = 0.375, a = 0.366, w = 0.65, freqs = [183.12827151 242.74062433], gamma = 0.11756
hx = 0.175, hy = 0.4, a = 0.366, w = 0.65, freqs = [181.26571901 235.71014619], gamma = 0.11782
hx = 0.2, hy = 0.375, a = 0.368, w = 0.65, freqs = [182.65351584 241.97023236], gamma = 0.11893
hx = 0.2, hy = 0.4, a = 0.368, w = 0.65, freqs = [183.45915071 245.82398897], gamma = 0.11899
hx = 0.2, hy = 0.375, a = 0.369, w = 0.65, freqs = [182.26653374 241.29395241], gamma = 0.11994
hx = 0.2, hy = 0.4, a = 0.369, w = 0.65, freqs = [183.06665575 245.0644496 ], gamma = 0.12012
hx = 0.2, hy = 0.375, a = 0.37, w = 0.65, freqs = [181.88346884 240.60639409], gamma = 0.12088
hx = 0.2, hy = 0.4, a = 0.37, w = 0.65, freqs = [182.68122943 244.36815106], gamma = 0.12123
hx = 0.2, hy = 0.375, a = 0.371, w = 0.65, freqs = [181.50645519 239.94019403], gamma = 0.12177
hx = 0.2, hy = 0.4, a = 0.371, w = 0.65, freqs = [182.29947936 243.66791088], gamma = 0.12226
hx = 0.2, hy = 0.375, a = 0.372, w = 0.65, freqs = [181.15904394 239.37690647], gamma = 0.12261
hx = 0.2, hy = 0.4, a = 0.372, w = 0.65, freqs = [181.949765   243.02449933], gamma = 0.12317
hx = 0.2, hy = 0.375, a = 0.373, w = 0.65, freqs = [180.81191154 238.81204213], gamma = 0.12341
hx = 0.2, hy = 0.4, a = 0.373, w = 0.65, freqs = [181.59881035 242.37380846], gamma = 0.12403
hx = 0.2, hy = 0.375, a = 0.374, w = 0.65, freqs = [180.46773758 238.21852034], gamma = 0.12413
hx = 0.2, hy = 0.4, a = 0.374, w = 0.65, freqs = [181.25428372 241.76822073], gamma = 0.12488
hx = 0.2, hy = 0.4, a = 0.375, w = 0.65, freqs = [180.90329372 241.14099775], gamma = 0.12569
hx = 0.2, hy = 0.4, a = 0.376, w = 0.65, freqs = [180.60593807 240.7316182 ], gamma = 0.12649
hx = 0.2, hy = 0.4, a = 0.377, w = 0.65, freqs = [180.25860078 240.08030312], gamma = 0.1272
hx = 0.2, hy = 0.4, a = 0.378, w = 0.65, freqs = [179.91429943 239.42711933], gamma = 0.12785
hx = 0.2, hy = 0.425, a = 0.378, w = 0.65, freqs = [180.8258547  242.90079527], gamma = 0.12796
hx = 0.2, hy = 0.4, a = 0.379, w = 0.65, freqs = [179.57951678 238.83221615], gamma = 0.1285
hx = 0.2, hy = 0.425, a = 0.379, w = 0.65, freqs = [180.48885341 242.24604675], gamma = 0.12869
hx = 0.2, hy = 0.4, a = 0.38, w = 0.65, freqs = [179.23202506 238.19203726], gamma = 0.1291
hx = 0.2, hy = 0.425, a = 0.38, w = 0.65, freqs = [180.13834189 241.58059809], gamma = 0.12943
hx = 0.2, hy = 0.4, a = 0.381, w = 0.65, freqs = [178.89192481 237.57897073], gamma = 0.12968
hx = 0.2, hy = 0.425, a = 0.381, w = 0.65, freqs = [179.78673177 240.87897146], gamma = 0.13009
hx = 0.2, hy = 0.4, a = 0.382, w = 0.65, freqs = [178.54893023 236.96958992], gamma = 0.13024
hx = 0.2, hy = 0.425, a = 0.382, w = 0.65, freqs = [179.43814043 240.21434052], gamma = 0.13074
hx = 0.2, hy = 0.4, a = 0.383, w = 0.65, freqs = [178.23629124 236.5341883 ], gamma = 0.13087
hx = 0.2, hy = 0.425, a = 0.383, w = 0.65, freqs = [179.12449127 239.73095973], gamma = 0.13143
hx = 0.225, hy = 0.4, a = 0.384, w = 0.65, freqs = [180.76622035 246.01557669], gamma = 0.13151
hx = 0.2, hy = 0.425, a = 0.384, w = 0.65, freqs = [178.77780013 239.0557762 ], gamma = 0.13199
hx = 0.225, hy = 0.4, a = 0.385, w = 0.65, freqs = [180.38280371 245.37378483], gamma = 0.13253
hx = 0.225, hy = 0.4, a = 0.386, w = 0.65, freqs = [180.00941492 244.73556576], gamma = 0.13347
hx = 0.225, hy = 0.4, a = 0.387, w = 0.65, freqs = [179.62650644 244.10434342], gamma = 0.13441
hx = 0.225, hy = 0.425, a = 0.387, w = 0.65, freqs = [180.57931559 248.06346818], gamma = 0.13441
hx = 0.225, hy = 0.4, a = 0.388, w = 0.65, freqs = [179.25132982 243.45573296], gamma = 0.13527
hx = 0.225, hy = 0.425, a = 0.388, w = 0.65, freqs = [180.20080948 247.35639266], gamma = 0.13538
hx = 0.225, hy = 0.4, a = 0.39, w = 0.65, freqs = [178.81844952 242.70374646], gamma = 0.13621
hx = 0.225, hy = 0.425, a = 0.39, w = 0.65, freqs = [179.77380554 246.55397798], gamma = 0.13642
hx = 0.225, hy = 0.4, a = 0.391, w = 0.65, freqs = [178.44818766 242.09331572], gamma = 0.13701
hx = 0.225, hy = 0.425, a = 0.391, w = 0.65, freqs = [179.39085136 245.86679853], gamma = 0.13734
hx = 0.225, hy = 0.4, a = 0.392, w = 0.65, freqs = [178.0754399  241.43663556], gamma = 0.13773
hx = 0.225, hy = 0.425, a = 0.392, w = 0.65, freqs = [179.01407285 245.15852741], gamma = 0.13817
hx = 0.225, hy = 0.4, a = 0.393, w = 0.65, freqs = [177.70394114 240.76736324], gamma = 0.13839
hx = 0.225, hy = 0.425, a = 0.393, w = 0.65, freqs = [178.63914833 244.36128396], gamma = 0.13885
hx = 0.225, hy = 0.4, a = 0.394, w = 0.65, freqs = [177.34995864 240.10071783], gamma = 0.13895
hx = 0.225, hy = 0.425, a = 0.394, w = 0.65, freqs = [178.28069144 243.76218228], gamma = 0.13965
hx = 0.225, hy = 0.425, a = 0.395, w = 0.65, freqs = [177.95826441 243.12190205], gamma = 0.14022
hx = 0.225, hy = 0.425, a = 0.396, w = 0.65, freqs = [177.62844687 242.54689052], gamma = 0.14086
